32;Con quale rito inizia la Veglia pasquale?;Benedizione del fuoco;Via Crucis;Lavanda dei piedi;Adorazione della Croce;1
33;In quale giorno della settimana si celebra la festa di Pasqua?;Venerdì;Domenica;Mercoledì;.;2
34;Come si chiama popolarmente il lunedì che segue la domenica di Pasqua?;Pasquetta;Ferragosto;Carnevale;.;1
35;La festa di Pentecoste si celebra prima o dopo Pasqua?;   PRIMA;  DOPO;;.;2
36;Con quale festa si ricorda la discesa dello Spirito Santo sugli apostoli?;Pentecoste;Tutti i Santi;Natale;Ascensione;1
37;"Cosa significa la parola ""Pentecoste""?";Ascensione di Gesù;Cinquantesimo giorno;Battesimo di Gesù;Giorno del Signore;2
38;"Il ""tempo pasquale"" termina con la festa ..";di Maria Immacolata;di Pentecoste;di Cristo Re;del Corpus Domini;2
39;"Il ""Lunedì dell'Angelo"" è il giorno successivo alla..?";Domenica di Pasqua;Prima domenica di Avvento;Domenica delle Palme;.;1
40;"La ""Via Crucis"" è composta da 14 stazioni rappresentanti alcuni momenti della passione di Cristo";VERO;FALSO;;.;1
41;Come si chiama la domenica successiva alla Pasqua?;Domenica in Albis;Domenica santa;Domenica delle Palme;.;1
42;Con quale festività si ricorda il ritorno al cielo di Gesù?;Epifania;Lunedì dell'Angelo;Ascensione;.;3
43;Quanti giorni dopo Pasqua si celebra la festa di Pentecoste?;50;13;42;.;1
44;L'ultima domenica dell'anno liturgico è consacrata alla solennità…;di Cristo Re;del Corpus Domini;della Santissima Trinità;.;1
45;Il 25 marzo ricorre un'importante festa mariana. Quale?;Maria SS.ma Ausiliatrice;Assunzione della B.V. Maria ;Annunciazione a Maria Della nascita del Signore;.;3
46;"In quale giorno si celebra la festa di ""Tutti i Santi""?";08-dic;06-gen;01-nov;.;tre
47;"Com'è anche chiamato l'""anno santo""?";Sacro crisma;Concilio;Giubileo;Anno bisestile;3
48;In quale giorno si celebra la festa di Maria Immacolata?;15-ago;08-dic;25-dic;08-set;due
49;In quale giorno si festeggia san Domenico Savio?;31-gen;08-set;06-mag;.;tre
50;La domenica di Pasqua e la domenica di Risurreaione sono 2 giorni diversi?;   SI;    NO;;.;2
51;Quando si celebra la solennità della Santissima Trinità?;La domenica dopo Pentecoste;La domenica prima di Pasqua;La domenica prima di Natale;.;1
52;"Con quale nome è chiamata la solennità del ""Santissimo Sacramento del Corpo e Sangue di Cristo""?";Tutti i Santi;Corpus Domini;Ascensione;.;2
1;In quale giorno della settimana i cristiani si riuniscono per partecipare alla celebrazione eucaristica?;Domenica;Sabato;Venerdì;.;1
2;"Con quale ""segno"" cristiano si inizia la celebrazione eucaristica?";Con il segno della croce;Con un gesto di pace;Con la recita del rosario;.;1
3;Com'è anche chiamata la celebrazione eucaristica?;Confessione;Santa Messa;Beneizione;.;2
4;La S. Messa si suddivide in due momenti importanti. Quali?;Via Crucis e benedione;Rosario e gesto della pace;Liturgia della Parola e liturgia eucaristica;.;3
5;In quale momento, durante la S. Messa, il celebrante compie il gesto di lavarsi le mani?;Dopo la comunione;Prima della lettura del Vangelo;Dopo l'offertorio;.;3
6;Durante la S. Messa i fedeli ascoltano la lettura del Vangelo stando seduti oppure in piedi?;    SEDUTI;   IN PIEDI;;.;2
7;"Cosa significa la parola ""Eucarestia""?";Mangiare;Riunione;Ringraziamento;.;3
8;"Di che colore sono i paramenti del sacerdote durante le celebrazioni del ""tempo ordinario""?";Viola;Verde;Rosso;.;2
9;Di che colore sono i paramenti che il celebrante indossa durante il periodo quaresimale?;Bianco;Viola;Rosso;.;2
10;"Come si chiama il ""discorso"" che fa il celebrante, durante la Messa, dopo la lettura del Vangelo?";Benedizione;Omelia;Preghiera;.;2
11;Come si chiama la preghiera che segue immediatamente la consacrazione del pane e del vino durante la S. Messa?;Anamnesi;Credo;Atto di dolore;.;1
12;"Il rito del ""congedo"", durante la S. Messa, si svolge all'inizio o alla fine della celebrazione?";  All'Inizio;  Alla fine;;.;2
13;"Quanti sono i ""sacramenti""?";7;10;12;.;1
14;Quali sono i sacramenti?;Benedizione e Rosario;Battesimo, Confermazione, Eucarestia, Penitenza, Unzione degli infermi, Ordine e Matrimonio;Via crucis e comunione;.;2
15;Qual è il primo dei sacramenti che riceve colui che vuole divenire cristiano?;Confermazione;Battesimo;Ordine;.;2
16;"In qualo sacramenti viene usato il ""crisma"", l'olio consacrato?";Matrimonio e Battesimo;Comunione, Unzione degli infermi e Matrimonio;Battesimo, Confermazione e Ordine;.;3
17;Com'è anche chiamato il sacramento della Confermazione?;Cresima;Comunione;Ordine;.;1
18;"In quale giorno dell'anno liturgico il Vescovo consacra il ""sacro crisma""?";A Natale;Il giovedì santo;A Pentecoste;.;2
1;"Dove si riunivano i primi cristiani per celebrare la ""frazione del pane""?";Nella sinagoga;In casa;Nella cattedrale;.;2
2;Come si chiamava l'edificio per il culto cristiano?;Chiesa ;Sinagoga;Moschea;.;1
3;"Cos'è la ""navata""?";Lo spazio interno della chiesa;Un tipo di chiesa;La sacrestia;La parte alta del campanile;1
4;Come si chiama il luogo, all'interno della chiesa, dov'è situata l'altare?;Pronao;Presbiterio;Battistero;Ambone;2
5;"Da dove viene letta la ""Parola di Dio"" durante la S. Messa?";Dal fonte battesimale;Dalla cripta;all'ambone;Dalla sacrestia;3
6;"Che cos'è una ""basilica""?";Una pianta aromatica;Una chiesa;Una regione italiana;.;2
7;Dove viene custodito il Santissimo Sacramento?;Nel turibolo;Nel tabernacolo;Nel fonte battesimale;.;2
8;"Come si chiama il ""luogo"" dove si celebra il sacramento della Penitenza?";Mausoleo;Confessionale;Battistero;.;2
9;Come si chiama l'ambiente dove vengono riposti arredi e oggetti per le celebrazioni e dove si veste il celebrante?;Sacrestia;Cappella;Tiburio;.;1
10;Come si chiama lo spazio dove sostano i fedeli in chiesa?;Presbiterio;Navata;Pronao;.;2
11;L'acquasantiera è un contenitore dell'acqua benedetta posto all'entrata della chiesa.;VERO;FALSO;;.;1
12;"Come si chiama la tavola, in genere in marmo, che serve per la ""mensa eucaristica""?";Altare;Nicchia;Bancone;Ambone;1
1;Come si chiamail recipiente dove viene posto il vino dal celebrante durante la S. Messa?;Calice;Ostensorio;Caraffa;.;1
2;"Come si chiama il sostegno su cui si dispone il ""messale"" nella celebrazione eucaristica?";Pulpito;Candeliere;Leggìo;.;3
3;Come si chiama il contenitore dove è riposto l'incenso?;Navicella;Aspersorio;Pisside;.;1
4;Come si chiama l'oggetto usato per le benedizioni con l'acqua santa?;Teca;Aspersorio;Innaffiatoio;.;2
5;Come si chiama il libro posto sull'altare e dal quale il sacerdote legge le parole della liturgia eucaristica?;Breviario;Vangelo;Messale;.;3
6;"Il ""Lezionario"" è il libro, posto sull'ambone, dove sono contenute le letture della Parola di Dio.";VERO;FALSO;;.;1
7;Come si chiamano i contenitori dell'acqua e del vino portati all'altare durante la S. Messa?;Bicchieri;Ampolline;Tabernacoli;.;2
8;Come si chiama il piattino dove il celebrante pone l'ostia da consacrare?;Tonaca;Stola;Patena;.;3
9;Come si chiama il panno usato dal celebrante per asciugarsi le mani?;Pianeta;Manutergio;Velo;.;2
10;Come si chiama il contenitore dove vengono riposte le ostie consacrate durante la Messa?;Pisside;Reliquiario;Ostensorio;.;1
11;Prima di iniziare la Messa Vengono accese le candele presenti sull'altare.;VERO;FALSO;;.;1
12;Dove viene messo a bruciare l'incenso durante le celebrazioni liturgiche?;Nella navicella;Nell'aspersorio;Nel turibolo;.;3
13;Come si chiama il contenitore dove è custodita l'Ostia sacra durante l'adorazione?;Ostensorio;Presbiterio;Pisside;.;1
14;Vicino al tabernacolo è posto sempre un lume acceso.;VERO;FALSO;;.;1
15;Come si chiama il bastone tenuto dal Vescono durante le funzioni solenni?;Pastorale;Scettro;Ambone;.;1
1;Come si chiama il copricapo a punta del Vescovo?;Mitra;Corona;Basilica;Punteruolo;1
2;"Cos'è la ""casula""?";Un tipo di casa in legno;Una vesta liturgica;Il secchiello contenento l'acqua benedetta;.;2
3;Di che colore sono i paramenti liturgici indossati dal celebrante nella solennità di Pasqua?;Viola ;Verde;Bianco;.;3
4;"Il celebrante, dopo aver indossato il camice, indossa il ""cingolo"". Che cos'è?";Un copricapo;Una cintura intrecciata a cordone;Un mantello;.;2
5;Come si chiama la veste liturgica che indossa il celebrante durante la S. Messa?;Navata;Casula;Ostensorio;.;2
6;Come si chiama la stola bianca che indossa l'Arcivescovo?;Tiara;Ferula;Pallio;.;3
7;Come si chiama la fascia che i diaconi indossano diagonalmente sopra il camice?;Stola;Pastorale;Calotta;Cingolo;1
8;"Sulla ""stola"" è raffigurata una croce che il ministro bacia quando la indossa.";VERO;FALSO;;.;1
9;"Che cos'è la ""dalmatica""?";Il luogo dove è posto l'altare;La veste liturgica che indossa il diacono;In contenitore dell'incenso;.;2
1;Come si chiama il successore dell'apostolo Pietro a capo della Chiesa?;Sommo pontefice o Papa;Parroco;Cardinale;.;1
2;Da chi viene eletto il Papa?;Dai diaconi;Dai cardinali;Dalle suore;.;2
3;Come si chiama la lettera circolare del Papa a tutti i fedeli?;Dogma;Giubileo;Enciclica;Comandamento;3
4;Come si chiama la riunione dei cardinali per l'elezione del Papa?;Conclave;Sacra riunione;Cenacolo;.;1
5;Come si chiama la riunione, sotto presidenza del Papa, di tutti i vescovi della chiesa cattolica?;Vescovado;Concilio ecumenico;Incontro diocesano;.;2
6;Il Papa è anche Vescovo di Roma.;VERO;FALSO;;.;1
7;In quale città si svolse il primo Concilio della Chiesa?;Roma;Gerusalemme;Betlemme;.;2
8;L'ordinazione dei presbiteri (o sacerdoti) avviene mediante il sacramento…;Del Battesimo;Della Confermazione;Dell'Ordine;Del Matrimonio;3
9;Chi ha il potere di ordinare i sacerdoti?;Presidente della Repubblica;Vescovo;Diacono;.;2
10;"Da chi venne istituita la figura del ""diacono""?";Da Gesù;Da Papa Giovanni Paolo II;Dagli Apostoli;.;3
11;"Cosa vuol dire la parola ""diacono""?";Sacerdote;Servitore;Apostolo;Cattolico;2
12;"Chi è il ""chierico""?";E' un membro del clero;Chi canta nel coro;Colui che serve il celebrante nella S. Messa;.;1
1;"Cos'è il ""dogma""?";Un libro della Bibbia;Una verità di fede da credere;La chiesa più importante della città;.;2
2;Come si chiama la dottrina contraria a quanto crede la Chiesa?;Esegesi;Parusìa ;Eresia;.;3
3;"Cosa vuol dire la parola ""scisma""?";Terremoto;Separazione;Unione;.;2
4;Come è chiamata la separazione creatasi all'interno della Chiesa che diede origine alla Chiesa orientale e occidentale?;Diaconia;Scisma;Ortodossia;.;2
5;"Cosa indica la parola ""parusìa""?";Il ritorno di Cristo alla fine del mondo;Una grande parrocchia;La nascita del Messia;.;1
6;"Chi sono i ""neofiti""^";I nuovi battezzati;Diaconi;Frati;.;1
7;"Cosa significa la parola ""Papa""?";Maestro;Successore;Padre;Imperatore;3
8;"Cosa significa la parola ""angelo""?";Messaggero;Alato;Invisibile;Amico;1
9;"Cosa significa la parola ""cattolico""?";Universale ;Cristiano;Religioso;.;1
10;Con quale frase si concluse la prima e la seconda lettura nella S. Messa?;Parola di Dio;Ascoltaci, o Signore;La pace sia con voi;.;1
11;"Chi è il ""titolare"" di una chiesa?";Il Papa;Il Santo al cui nome è dedicata quella chiesa;Il parroco;.;2
12;"Il cero pasquale simboleggia la figura di Cristo che è ""luce del mondo"".";VERO;FALSO;;.;1
1;Chi sono i patroni d'Italia?;San Francesco d'Assisi e santa Caterina da Siena;San Pietro e Paolo;San Benedetto e santa Lucia;.;1
2;Chi sono i santi patroni d'Europa?;San Luca, San Marco e San Giorgio;San Benedetto, San Cirillo e San Metodio;San Nicola, San Gennaro e Santa Lucia;.;2
3;"Chi è la fondatrice dell'ordine delle ""clarisse""?";Santa Chiara d'Assisi;Santa Caterina da Siena;Santa Rita da Cascia;.;1
4;Come si chiama il santo fondatore dei Salesiani?;San Nicola di Bari;San Domenico Savio;San Giovanni Bosco;.;3
5;Come si chiama la santa protettrice dei cantori e musicisti?;Santa Cecilia;Santa Barbara;Santa Lucia;.;1
6;San Francesco d'Assisi è anche ricordato come l'inventore di una tradizione natalizia ancora oggi molto diffusa. Qual è?;Albero di Natale;Corona d'Avvento;Presepe;..;3
7;"Santa Teresa di Gesù Bambino è la ""patrona delle missioni"" insieme a…";San Martino di Tours;San Francesco Saverio;San Vincenzo de' Paoli;.;2
8;"Chi è il findatore di un ordine religioso il cui motto è :"" prega e lavora""?";San Giorgio;San Benedetto ;San Giovanni ;.;2
9;"Chi è l'ideatore dell'alfabeto ""cirillico"" usato dalle popolazioni slave?";San Cirillo;San Martino; San Paolo;.;1
10;Chi è il patrono della città di Venezia?;San Riccardo;San Marco;San Luca;San Giorgio;2
11;Quali santi vengono festeggiati insieme il 29 giugno?;Santi Pietro e Paolo;Santi Giovanni e Barnaba;Santi Francesco e Chiara;.;1
12;"Chi è la ""Santa dell'impossibile""?";Santa Chiara d'Assisi;Santa Rita da Cascia;Santa Teresa d'Avila;Santa Lucia;2
